number,area,type,mean,min,max,sample,treatment_type,individual_sample
8,148.925,algae,0,0,0,21_C2A_002,control,C2
9,1434.066,algae,0,0,0,21_C2A_002,control,C2
10,750.358,algae,0,0,0,21_C2A_002,control,C2
11,252.559,algae,0,0,0,21_C2A_002,control,C2
12,155.056,algae,0,0,0,21_C2A_002,control,C2
13,54.289,algae,0,0,0,21_C2A_002,control,C2
14,36.292,algae,0,0,0,21_C2A_002,control,C2
15,218.146,algae,0,0,0,21_C2A_002,control,C2
16,79626.191,whole_lichen,108.935,0,255,21_C2A_002,control,C2
1,106.897,algae,0,0,0,5_C4A_1,control,C4
2,591.743,algae,0,0,0,5_C4A_1,control,C4
3,911.347,algae,0,0,0,5_C4A_1,control,C4
4,371.52,algae,0,0,0,5_C4A_1,control,C4
5,53.498,algae,0,0,0,5_C4A_1,control,C4
6,87.713,algae,0,0,0,5_C4A_1,control,C4
7,1995.055,algae,0,0,0,5_C4A_1,control,C4
8,602.62,algae,0,0,0,5_C4A_1,control,C4
9,352.633,algae,0,0,0,5_C4A_1,control,C4
10,110.952,algae,0,0,0,5_C4A_1,control,C4
11,1129.79,algae,0,0,0,5_C4A_1,control,C4
12,642.67,algae,0,0,0,5_C4A_1,control,C4
13,146.057,algae,0,0,0,5_C4A_1,control,C4
14,115.995,algae,0,0,0,5_C4A_1,control,C4
15,1096.761,algae,0,0,0,5_C4A_1,control,C4
16,180.074,algae,0,0,0,5_C4A_1,control,C4
17,791.693,algae,0,0,0,5_C4A_1,control,C4
18,69.716,algae,0,0,0,5_C4A_1,control,C4
19,71.397,algae,0,0,0,5_C4A_1,control,C4
20,59.332,algae,0,0,0,5_C4A_1,control,C4
21,68.43,algae,0,0,0,5_C4A_1,control,C4
22,108.974,algae,0,0,0,5_C4A_1,control,C4
23,64.574,algae,0,0,0,5_C4A_1,control,C4
24,74.858,algae,0,0,0,5_C4A_1,control,C4
25,195.204,algae,0,0,0,5_C4A_1,control,C4
26,296.564,algae,0,0,0,5_C4A_1,control,C4
27,676.687,algae,0,0,0,5_C4A_1,control,C4
28,1509.913,algae,0,0,0,5_C4A_1,control,C4
29,306.156,algae,0,0,0,5_C4A_1,control,C4
30,424.227,algae,0,0,0,5_C4A_1,control,C4
31,99.184,algae,0,0,0,5_C4A_1,control,C4
32,136.959,algae,0,0,0,5_C4A_1,control,C4
33,363.807,algae,0,0,0,5_C4A_1,control,C4
34,442.917,algae,0,0,0,5_C4A_1,control,C4
35,510.161,algae,0,0,0,5_C4A_1,control,C4
36,1008.059,algae,0,0,0,5_C4A_1,control,C4
37,28.677,algae,0,0,0,5_C4A_1,control,C4
38,59.53,algae,0,0,0,5_C4A_1,control,C4
39,64.475,algae,0,0,0,5_C4A_1,control,C4
40,41.928,algae,0,0,0,5_C4A_1,control,C4
41,70.012,algae,0,0,0,5_C4A_1,control,C4
42,13.251,algae,0,0,0,5_C4A_1,control,C4
43,138391.57,whole_lichen,94.684,0,255,5_C4A_1,control,C4
1,1723.51,algae,0,0,0,5_C4A_002,control,C4
2,1226.699,algae,0,0,0,5_C4A_002,control,C4
3,480,algae,0,0,0,5_C4A_002,control,C4
4,34.71,algae,0,0,0,5_C4A_002,control,C4
5,1010.136,algae,0,0,0,5_C4A_002,control,C4
6,75.451,algae,0,0,0,5_C4A_002,control,C4
7,65.167,algae,0,0,0,5_C4A_002,control,C4
8,63.881,algae,0,0,0,5_C4A_002,control,C4
9,65.859,algae,0,0,0,5_C4A_002,control,C4
10,1475.995,algae,0,0,0,5_C4A_002,control,C4
11,140.915,algae,0,0,0,5_C4A_002,control,C4
12,125.093,algae,0,0,0,5_C4A_002,control,C4
13,241.582,algae,0,0,0,5_C4A_002,control,C4
14,381.014,algae,0,0,0,5_C4A_002,control,C4
15,740.272,algae,0,0,0,5_C4A_002,control,C4
16,219.332,algae,0,0,0,5_C4A_002,control,C4
17,1264.474,algae,0,0,0,5_C4A_002,control,C4
18,139.332,algae,0,0,0,5_C4A_002,control,C4
19,177.997,algae,0,0,0,5_C4A_002,control,C4
20,105.117,algae,0,0,0,5_C4A_002,control,C4
21,69.815,algae,0,0,0,5_C4A_002,control,C4
22,121.829,algae,0,0,0,5_C4A_002,control,C4
23,100.272,algae,0,0,0,5_C4A_002,control,C4
24,52.806,algae,0,0,0,5_C4A_002,control,C4
25,4677.181,algae,0,0,0,5_C4A_002,control,C4
26,344.821,algae,0,0,0,5_C4A_002,control,C4
27,37.478,algae,0,0,0,5_C4A_002,control,C4
28,677.577,algae,0,0,0,5_C4A_002,control,C4
29,174.536,algae,0,0,0,5_C4A_002,control,C4
30,109.172,algae,0,0,0,5_C4A_002,control,C4
31,1633.72,algae,0,0,0,5_C4A_002,control,C4
32,502.546,algae,0,0,0,5_C4A_002,control,C4
33,529.641,algae,0,0,0,5_C4A_002,control,C4
34,1084.598,algae,0,0,0,5_C4A_002,control,C4
35,1110.408,algae,0,0,0,5_C4A_002,control,C4
36,297.454,algae,0,0,0,5_C4A_002,control,C4
37,26.897,algae,0,0,0,5_C4A_002,control,C4
38,82.967,algae,0,0,0,5_C4A_002,control,C4
39,203.412,algae,0,0,0,5_C4A_002,control,C4
40,60.42,algae,0,0,0,5_C4A_002,control,C4
41,221.112,algae,0,0,0,5_C4A_002,control,C4
42,106.798,algae,0,0,0,5_C4A_002,control,C4
43,118.863,algae,0,0,0,5_C4A_002,control,C4
44,185763.824,whole_lichen,86.061,0,255,5_C4A_002,control,C4
1,2052.212,algae,0,0,0,5_C4A_003,control,C4
2,1985.859,algae,0,0,0,5_C4A_003,control,C4
3,248.504,algae,0,0,0,5_C4A_003,control,C4
4,101.953,algae,0,0,0,5_C4A_003,control,C4
5,218.442,algae,0,0,0,5_C4A_003,control,C4
6,145.068,algae,0,0,0,5_C4A_003,control,C4
7,3064.721,algae,0,0,0,5_C4A_003,control,C4
8,758.269,algae,0,0,0,5_C4A_003,control,C4
9,872.484,algae,0,0,0,5_C4A_003,control,C4
10,1967.762,algae,0,0,0,5_C4A_003,control,C4
11,1053.745,algae,0,0,0,5_C4A_003,control,C4
12,109.765,algae,0,0,0,5_C4A_003,control,C4
13,67.54,algae,0,0,0,5_C4A_003,control,C4
14,738.492,algae,0,0,0,5_C4A_003,control,C4
15,286.279,algae,0,0,0,5_C4A_003,control,C4
16,334.24,algae,0,0,0,5_C4A_003,control,C4
17,156.836,algae,0,0,0,5_C4A_003,control,C4
18,571.768,algae,0,0,0,5_C4A_003,control,C4
19,74.363,algae,0,0,0,5_C4A_003,control,C4
20,101.261,algae,0,0,0,5_C4A_003,control,C4
21,89.988,algae,0,0,0,5_C4A_003,control,C4
22,271.446,algae,0,0,0,5_C4A_003,control,C4
23,66.749,algae,0,0,0,5_C4A_003,control,C4
24,215.773,algae,0,0,0,5_C4A_003,control,C4
25,109.073,algae,0,0,0,5_C4A_003,control,C4
26,111.347,algae,0,0,0,5_C4A_003,control,C4
27,37.775,algae,0,0,0,5_C4A_003,control,C4
28,78.418,algae,0,0,0,5_C4A_003,control,C4
29,236.737,algae,0,0,0,5_C4A_003,control,C4
30,147739.702,whole_lichen,87.635,0,255,5_C4A_003,control,C4
1,1816.464,algae,0,0,0,5_C4A_006,control,C4
2,348.875,algae,0,0,0,5_C4A_006,control,C4
3,247.318,algae,0,0,0,5_C4A_006,control,C4
4,262.447,algae,0,0,0,5_C4A_006,control,C4
5,369.246,algae,0,0,0,5_C4A_006,control,C4
6,548.529,algae,0,0,0,5_C4A_006,control,C4
7,478.615,algae,0,0,0,5_C4A_006,control,C4
8,517.874,algae,0,0,0,5_C4A_006,control,C4
9,124.994,algae,0,0,0,5_C4A_006,control,C4
10,60.915,algae,0,0,0,5_C4A_006,control,C4
11,35.402,algae,0,0,0,5_C4A_006,control,C4
12,124.994,algae,0,0,0,5_C4A_006,control,C4
13,145.661,algae,0,0,0,5_C4A_006,control,C4
14,26.403,algae,0,0,0,5_C4A_006,control,C4
15,110.952,algae,0,0,0,5_C4A_006,control,C4
16,499.58,algae,0,0,0,5_C4A_006,control,C4
17,59.431,algae,0,0,0,5_C4A_006,control,C4
18,76.242,algae,0,0,0,5_C4A_006,control,C4
19,170.976,algae,0,0,0,5_C4A_006,control,C4
20,134.586,algae,0,0,0,5_C4A_006,control,C4
21,1662.892,algae,0,0,0,5_C4A_006,control,C4
22,494.437,algae,0,0,0,5_C4A_006,control,C4
23,495.921,algae,0,0,0,5_C4A_006,control,C4
24,294.091,algae,0,0,0,5_C4A_006,control,C4
25,111.248,algae,0,0,0,5_C4A_006,control,C4
26,105.513,algae,0,0,0,5_C4A_006,control,C4
27,890.976,algae,0,0,0,5_C4A_006,control,C4
28,708.133,algae,0,0,0,5_C4A_006,control,C4
29,130.63,algae,0,0,0,5_C4A_006,control,C4
30,54.487,algae,0,0,0,5_C4A_006,control,C4
31,169.691,algae,0,0,0,5_C4A_006,control,C4
32,152.88,algae,0,0,0,5_C4A_006,control,C4
33,64.969,algae,0,0,0,5_C4A_006,control,C4
34,119.456,algae,0,0,0,5_C4A_006,control,C4
35,77.33,algae,0,0,0,5_C4A_006,control,C4
36,369.839,algae,0,0,0,5_C4A_006,control,C4
37,1466.205,algae,0,0,0,5_C4A_006,control,C4
38,406.329,algae,0,0,0,5_C4A_006,control,C4
39,121.928,algae,0,0,0,5_C4A_006,control,C4
40,84.944,algae,0,0,0,5_C4A_006,control,C4
41,174.24,algae,0,0,0,5_C4A_006,control,C4
42,207.565,algae,0,0,0,5_C4A_006,control,C4
43,55.476,algae,0,0,0,5_C4A_006,control,C4
44,29.271,algae,0,0,0,5_C4A_006,control,C4
45,384.475,algae,0,0,0,5_C4A_006,control,C4
46,40.445,algae,0,0,0,5_C4A_006,control,C4
47,10.581,algae,0,0,0,5_C4A_006,control,C4
48,86.724,algae,0,0,0,5_C4A_006,control,C4
49,231.298,algae,0,0,0,5_C4A_006,control,C4
50,143.486,algae,0,0,0,5_C4A_006,control,C4
51,79.11,algae,0,0,0,5_C4A_006,control,C4
52,52.806,algae,0,0,0,5_C4A_006,control,C4
53,52.707,algae,0,0,0,5_C4A_006,control,C4
54,44.598,algae,0,0,0,5_C4A_006,control,C4
55,351.051,algae,0,0,0,5_C4A_006,control,C4
56,143528.282,whole_lichen,89.766,0,255,5_C4A_006,control,C4
1,1178.739,algae,0,0,0,7_C4A_1,control,C4
2,400.692,algae,0,0,0,7_C4A_1,control,C4
3,638.22,algae,0,0,0,7_C4A_1,control,C4
4,385.958,algae,0,0,0,7_C4A_1,control,C4
5,88.999,algae,0,0,0,7_C4A_1,control,C4
6,196.984,algae,0,0,0,7_C4A_1,control,C4
7,147.936,algae,0,0,0,7_C4A_1,control,C4
8,497.8,algae,0,0,0,7_C4A_1,control,C4
9,293.795,algae,0,0,0,7_C4A_1,control,C4
10,499.58,algae,0,0,0,7_C4A_1,control,C4
11,1934.141,algae,0,0,0,7_C4A_1,control,C4
12,140.025,algae,0,0,0,7_C4A_1,control,C4
13,252.559,algae,0,0,0,7_C4A_1,control,C4
14,1052.954,algae,0,0,0,7_C4A_1,control,C4
15,357.478,algae,0,0,0,7_C4A_1,control,C4
16,248.9,algae,0,0,0,7_C4A_1,control,C4
17,89.988,algae,0,0,0,7_C4A_1,control,C4
18,266.106,algae,0,0,0,7_C4A_1,control,C4
19,343.634,algae,0,0,0,7_C4A_1,control,C4
20,366.675,algae,0,0,0,7_C4A_1,control,C4
21,72.979,algae,0,0,0,7_C4A_1,control,C4
22,173.053,algae,0,0,0,7_C4A_1,control,C4
23,31.644,algae,0,0,0,7_C4A_1,control,C4
24,75.154,algae,0,0,0,7_C4A_1,control,C4
25,849.839,algae,0,0,0,7_C4A_1,control,C4
26,2372.904,algae,0,0,0,7_C4A_1,control,C4
27,61.508,algae,0,0,0,7_C4A_1,control,C4
28,456.86,algae,0,0,0,7_C4A_1,control,C4
29,2259.678,algae,0,0,0,7_C4A_1,control,C4
30,1087.664,algae,0,0,0,7_C4A_1,control,C4
31,111.545,algae,0,0,0,7_C4A_1,control,C4
32,515.797,algae,0,0,0,7_C4A_1,control,C4
33,115.303,algae,0,0,0,7_C4A_1,control,C4
34,622.398,algae,0,0,0,7_C4A_1,control,C4
35,112.633,algae,0,0,0,7_C4A_1,control,C4
36,30.655,algae,0,0,0,7_C4A_1,control,C4
37,148.43,algae,0,0,0,7_C4A_1,control,C4
38,257206.976,whole_lichen,124.41,0,255,7_C4A_1,control,C4
1,1839.901,algae,0,0,0,7_C4A_002,control,C4
2,325.834,algae,0,0,0,7_C4A_002,control,C4
3,294.883,algae,0,0,0,7_C4A_002,control,C4
4,257.009,algae,0,0,0,7_C4A_002,control,C4
5,398.121,algae,0,0,0,7_C4A_002,control,C4
6,179.58,algae,0,0,0,7_C4A_002,control,C4
7,97.009,algae,0,0,0,7_C4A_002,control,C4
8,68.133,algae,0,0,0,7_C4A_002,control,C4
9,415.822,algae,0,0,0,7_C4A_002,control,C4
10,252.855,algae,0,0,0,7_C4A_002,control,C4
11,137.454,algae,0,0,0,7_C4A_002,control,C4
12,47.07,algae,0,0,0,7_C4A_002,control,C4
13,172.163,algae,0,0,0,7_C4A_002,control,C4
14,407.614,algae,0,0,0,7_C4A_002,control,C4
15,116.391,algae,0,0,0,7_C4A_002,control,C4
16,2002.373,algae,0,0,0,7_C4A_002,control,C4
17,274.611,algae,0,0,0,7_C4A_002,control,C4
18,484.648,algae,0,0,0,7_C4A_002,control,C4
19,260.766,algae,0,0,0,7_C4A_002,control,C4
20,1782.447,algae,0,0,0,7_C4A_002,control,C4
21,340.865,algae,0,0,0,7_C4A_002,control,C4
22,93.35,algae,0,0,0,7_C4A_002,control,C4
23,565.142,algae,0,0,0,7_C4A_002,control,C4
24,145.464,algae,0,0,0,7_C4A_002,control,C4
25,357.874,algae,0,0,0,7_C4A_002,control,C4
26,85.439,algae,0,0,0,7_C4A_002,control,C4
27,327.12,algae,0,0,0,7_C4A_002,control,C4
28,102.25,algae,0,0,0,7_C4A_002,control,C4
29,51.619,algae,0,0,0,7_C4A_002,control,C4
30,219882.088,whole_lichen,131.175,0,255,7_C4A_002,control,C4
1,120.841,algae,0,0,0,7_C4A_003,control,C4
2,99.975,algae,0,0,0,7_C4A_003,control,C4
3,357.874,algae,0,0,0,7_C4A_003,control,C4
4,165.538,algae,0,0,0,7_C4A_003,control,C4
5,205.29,algae,0,0,0,7_C4A_003,control,C4
6,50.334,algae,0,0,0,7_C4A_003,control,C4
7,66.947,algae,0,0,0,7_C4A_003,control,C4
8,20.569,algae,0,0,0,7_C4A_003,control,C4
9,15.822,algae,0,0,0,7_C4A_003,control,C4
10,1906.749,algae,0,0,0,7_C4A_003,control,C4
11,140.717,algae,0,0,0,7_C4A_003,control,C4
12,326.428,algae,0,0,0,7_C4A_003,control,C4
13,142.2,algae,0,0,0,7_C4A_003,control,C4
14,135.773,algae,0,0,0,7_C4A_003,control,C4
15,45.983,algae,0,0,0,7_C4A_003,control,C4
16,102008.289,whole_lichen,130.421,0,255,7_C4A_003,control,C4
1,2653.053,algae,0,0,0,8_C4A_1,control,C4
2,1495.377,algae,0,0,0,8_C4A_1,control,C4
3,1293.844,algae,0,0,0,8_C4A_1,control,C4
4,427.59,algae,0,0,0,8_C4A_1,control,C4
5,106.304,algae,0,0,0,8_C4A_1,control,C4
6,1412.41,algae,0,0,0,8_C4A_1,control,C4
7,265.414,algae,0,0,0,8_C4A_1,control,C4
8,20.865,algae,0,0,0,8_C4A_1,control,C4
9,18.294,algae,0,0,0,8_C4A_1,control,C4
10,361.928,algae,0,0,0,8_C4A_1,control,C4
11,878.022,algae,0,0,0,8_C4A_1,control,C4
12,94.339,algae,0,0,0,8_C4A_1,control,C4
13,189.864,algae,0,0,0,8_C4A_1,control,C4
14,136.069,algae,0,0,0,8_C4A_1,control,C4
15,96.91,algae,0,0,0,8_C4A_1,control,C4
16,48.356,algae,0,0,0,8_C4A_1,control,C4
17,90.482,algae,0,0,0,8_C4A_1,control,C4
18,34.314,algae,0,0,0,8_C4A_1,control,C4
19,42.225,algae,0,0,0,8_C4A_1,control,C4
20,372.213,algae,0,0,0,8_C4A_1,control,C4
21,200.148,algae,0,0,0,8_C4A_1,control,C4
22,168.405,algae,0,0,0,8_C4A_1,control,C4
23,72.287,algae,0,0,0,8_C4A_1,control,C4
24,45.884,algae,0,0,0,8_C4A_1,control,C4
25,50.136,algae,0,0,0,8_C4A_1,control,C4
26,225.76,algae,0,0,0,8_C4A_1,control,C4
27,147.342,algae,0,0,0,8_C4A_1,control,C4
28,520.84,algae,0,0,0,8_C4A_1,control,C4
29,112.93,algae,0,0,0,8_C4A_1,control,C4
30,62.892,algae,0,0,0,8_C4A_1,control,C4
31,75.056,algae,0,0,0,8_C4A_1,control,C4
32,530.334,algae,0,0,0,8_C4A_1,control,C4
33,179.085,algae,0,0,0,8_C4A_1,control,C4
34,140.915,algae,0,0,0,8_C4A_1,control,C4
35,206.675,algae,0,0,0,8_C4A_1,control,C4
36,156.737,algae,0,0,0,8_C4A_1,control,C4
37,185.117,algae,0,0,0,8_C4A_1,control,C4
38,157.627,algae,0,0,0,8_C4A_1,control,C4
39,379.926,algae,0,0,0,8_C4A_1,control,C4
40,69.419,algae,0,0,0,8_C4A_1,control,C4
41,105.81,algae,0,0,0,8_C4A_1,control,C4
42,1369.295,algae,0,0,0,8_C4A_1,control,C4
43,140.124,algae,0,0,0,8_C4A_1,control,C4
44,35.204,algae,0,0,0,8_C4A_1,control,C4
45,23.14,algae,0,0,0,8_C4A_1,control,C4
46,28.282,algae,0,0,0,8_C4A_1,control,C4
47,46.873,algae,0,0,0,8_C4A_1,control,C4
48,8.801,algae,0,0,0,8_C4A_1,control,C4
49,38.368,algae,0,0,0,8_C4A_1,control,C4
50,142.101,algae,0,0,0,8_C4A_1,control,C4
51,136.267,algae,0,0,0,8_C4A_1,control,C4
52,200236.405,whole_lichen,109.442,0,255,8_C4A_1,control,C4
1,253.943,algae,0,0,0,9_C4A_002,control,C4
2,8.801,algae,0,0,0,9_C4A_002,control,C4
3,2068.034,algae,0,0,0,9_C4A_002,control,C4
4,626.551,algae,0,0,0,9_C4A_002,control,C4
5,21.557,algae,0,0,0,9_C4A_002,control,C4
6,1616.811,algae,0,0,0,9_C4A_002,control,C4
7,3847.91,algae,0,0,0,9_C4A_002,control,C4
8,4746.897,algae,0,0,0,9_C4A_002,control,C4
9,2587.194,algae,0,0,0,9_C4A_002,control,C4
10,837.083,algae,0,0,0,9_C4A_002,control,C4
11,645.636,algae,0,0,0,9_C4A_002,control,C4
12,107.886,algae,0,0,0,9_C4A_002,control,C4
13,165.34,algae,0,0,0,9_C4A_002,control,C4
14,131.224,algae,0,0,0,9_C4A_002,control,C4
15,115.698,algae,0,0,0,9_C4A_002,control,C4
16,97.602,algae,0,0,0,9_C4A_002,control,C4
17,50.433,algae,0,0,0,9_C4A_002,control,C4
18,963.065,algae,0,0,0,9_C4A_002,control,C4
19,21.656,algae,0,0,0,9_C4A_002,control,C4
20,136.069,algae,0,0,0,9_C4A_002,control,C4
21,40.148,algae,0,0,0,9_C4A_002,control,C4
22,192.138,algae,0,0,0,9_C4A_002,control,C4
23,177.206,algae,0,0,0,9_C4A_002,control,C4
24,96.316,algae,0,0,0,9_C4A_002,control,C4
25,135.08,algae,0,0,0,9_C4A_002,control,C4
26,2034.116,algae,0,0,0,9_C4A_002,control,C4
27,368.554,algae,0,0,0,9_C4A_002,control,C4
28,148.826,algae,0,0,0,9_C4A_002,control,C4
29,315.748,algae,0,0,0,9_C4A_002,control,C4
30,177.8,algae,0,0,0,9_C4A_002,control,C4
31,4444.993,algae,0,0,0,9_C4A_002,control,C4
32,330.581,algae,0,0,0,9_C4A_002,control,C4
33,314.363,algae,0,0,0,9_C4A_002,control,C4
34,549.419,algae,0,0,0,9_C4A_002,control,C4
35,2390.407,algae,0,0,0,9_C4A_002,control,C4
36,59.926,algae,0,0,0,9_C4A_002,control,C4
37,244.45,algae,0,0,0,9_C4A_002,control,C4
38,67.54,algae,0,0,0,9_C4A_002,control,C4
39,37.083,algae,0,0,0,9_C4A_002,control,C4
40,84.845,algae,0,0,0,9_C4A_002,control,C4
41,85.34,algae,0,0,0,9_C4A_002,control,C4
42,32.633,algae,0,0,0,9_C4A_002,control,C4
43,42.719,algae,0,0,0,9_C4A_002,control,C4
44,226104.584,whole_lichen,103.652,0,255,9_C4A_002,control,C4
1,2336.217,algae,0,0,0,9_C4A_003,control,C4
2,203.412,algae,0,0,0,9_C4A_003,control,C4
3,2676.39,algae,0,0,0,9_C4A_003,control,C4
4,789.913,algae,0,0,0,9_C4A_003,control,C4
5,442.225,algae,0,0,0,9_C4A_003,control,C4
6,147.441,algae,0,0,0,9_C4A_003,control,C4
7,239.011,algae,0,0,0,9_C4A_003,control,C4
8,3062.645,algae,0,0,0,9_C4A_003,control,C4
9,981.261,algae,0,0,0,9_C4A_003,control,C4
10,132.015,algae,0,0,0,9_C4A_003,control,C4
11,93.943,algae,0,0,0,9_C4A_003,control,C4
12,8433.818,algae,0,0,0,9_C4A_003,control,C4
13,6987.786,algae,0,0,0,9_C4A_003,control,C4
14,94.833,algae,0,0,0,9_C4A_003,control,C4
15,124.4,algae,0,0,0,9_C4A_003,control,C4
16,96.218,algae,0,0,0,9_C4A_003,control,C4
17,160.791,algae,0,0,0,9_C4A_003,control,C4
18,96.316,algae,0,0,0,9_C4A_003,control,C4
19,328.306,algae,0,0,0,9_C4A_003,control,C4
20,331.669,algae,0,0,0,9_C4A_003,control,C4
21,195.105,algae,0,0,0,9_C4A_003,control,C4
22,170.086,algae,0,0,0,9_C4A_003,control,C4
23,300.025,algae,0,0,0,9_C4A_003,control,C4
24,155.649,algae,0,0,0,9_C4A_003,control,C4
25,157.528,algae,0,0,0,9_C4A_003,control,C4
26,5349.814,algae,0,0,0,9_C4A_003,control,C4
27,511.545,algae,0,0,0,9_C4A_003,control,C4
28,511.545,algae,0,0,0,9_C4A_003,control,C4
29,67.639,algae,0,0,0,9_C4A_003,control,C4
30,128.653,algae,0,0,0,9_C4A_003,control,C4
31,536.761,algae,0,0,0,9_C4A_003,control,C4
32,1108.826,algae,0,0,0,9_C4A_003,control,C4
33,16.316,algae,0,0,0,9_C4A_003,control,C4
34,14.734,algae,0,0,0,9_C4A_003,control,C4
35,2115.105,algae,0,0,0,9_C4A_003,control,C4
36,59.926,algae,0,0,0,9_C4A_003,control,C4
37,287270.16,whole_lichen,115.939,0,255,9_C4A_003,control,C4
1,4779.431,algae,0,0,0,12_C4B_1,control,C4
2,201.038,algae,0,0,0,12_C4B_1,control,C4
3,83.164,algae,0,0,0,12_C4B_1,control,C4
4,226.156,algae,0,0,0,12_C4B_1,control,C4
5,101.063,algae,0,0,0,12_C4B_1,control,C4
6,161.384,algae,0,0,0,12_C4B_1,control,C4
7,1322.423,algae,0,0,0,12_C4B_1,control,C4
8,1049.196,algae,0,0,0,12_C4B_1,control,C4
9,155.946,algae,0,0,0,12_C4B_1,control,C4
10,1054.141,algae,0,0,0,12_C4B_1,control,C4
11,141.211,algae,0,0,0,12_C4B_1,control,C4
12,188.282,algae,0,0,0,12_C4B_1,control,C4
13,406.032,algae,0,0,0,12_C4B_1,control,C4
14,116.885,algae,0,0,0,12_C4B_1,control,C4
15,1153.918,algae,0,0,0,12_C4B_1,control,C4
16,188.677,algae,0,0,0,12_C4B_1,control,C4
17,340.272,algae,0,0,0,12_C4B_1,control,C4
18,128.653,algae,0,0,0,12_C4B_1,control,C4
19,316.143,algae,0,0,0,12_C4B_1,control,C4
20,998.072,algae,0,0,0,12_C4B_1,control,C4
21,875.352,algae,0,0,0,12_C4B_1,control,C4
22,329.691,algae,0,0,0,12_C4B_1,control,C4
23,228.628,algae,0,0,0,12_C4B_1,control,C4
24,233.77,algae,0,0,0,12_C4B_1,control,C4
25,82.868,algae,0,0,0,12_C4B_1,control,C4
26,2238.022,algae,0,0,0,12_C4B_1,control,C4
27,158.22,algae,0,0,0,12_C4B_1,control,C4
28,196.687,algae,0,0,0,12_C4B_1,control,C4
29,468.232,algae,0,0,0,12_C4B_1,control,C4
30,289.641,algae,0,0,0,12_C4B_1,control,C4
31,115.599,algae,0,0,0,12_C4B_1,control,C4
32,255.229,algae,0,0,0,12_C4B_1,control,C4
33,276.786,algae,0,0,0,12_C4B_1,control,C4
34,73.375,algae,0,0,0,12_C4B_1,control,C4
35,193709.039,whole_lichen,74.153,0,249,12_C4B_1,control,C4
1,1637.874,algae,0,0,0,17_C3B_002,control,C3
2,343.14,algae,0,0,0,17_C3B_002,control,C3
3,179.679,algae,0,0,0,17_C3B_002,control,C3
4,1143.238,algae,0,0,0,17_C3B_002,control,C3
5,2334.338,algae,0,0,0,17_C3B_002,control,C3
6,948.529,algae,0,0,0,17_C3B_002,control,C3
7,419.58,algae,0,0,0,17_C3B_002,control,C3
8,83.857,algae,0,0,0,17_C3B_002,control,C3
9,403.065,algae,0,0,0,17_C3B_002,control,C3
10,62.299,algae,0,0,0,17_C3B_002,control,C3
11,256.316,algae,0,0,0,17_C3B_002,control,C3
12,264.524,algae,0,0,0,17_C3B_002,control,C3
13,426.601,algae,0,0,0,17_C3B_002,control,C3
14,237.231,algae,0,0,0,17_C3B_002,control,C3
15,220.816,algae,0,0,0,17_C3B_002,control,C3
16,254.734,algae,0,0,0,17_C3B_002,control,C3
17,58.937,algae,0,0,0,17_C3B_002,control,C3
18,198.863,algae,0,0,0,17_C3B_002,control,C3
19,360.247,algae,0,0,0,17_C3B_002,control,C3
20,127.169,algae,0,0,0,17_C3B_002,control,C3
21,13.745,algae,0,0,0,17_C3B_002,control,C3
22,333.251,algae,0,0,0,17_C3B_002,control,C3
23,47.367,algae,0,0,0,17_C3B_002,control,C3
24,110.655,algae,0,0,0,17_C3B_002,control,C3
25,207.367,algae,0,0,0,17_C3B_002,control,C3
26,55.476,algae,0,0,0,17_C3B_002,control,C3
27,33.918,algae,0,0,0,17_C3B_002,control,C3
28,489.295,algae,0,0,0,17_C3B_002,control,C3
29,75.352,algae,0,0,0,17_C3B_002,control,C3
30,46.18,algae,0,0,0,17_C3B_002,control,C3
31,202.324,algae,0,0,0,17_C3B_002,control,C3
32,65.464,algae,0,0,0,17_C3B_002,control,C3
33,66.551,algae,0,0,0,17_C3B_002,control,C3
34,145.167,algae,0,0,0,17_C3B_002,control,C3
35,64.771,algae,0,0,0,17_C3B_002,control,C3
36,96753.506,whole_lichen,88.07,0,255,17_C3B_002,control,C3
1,3640.741,algae,0,0,0,18_C3B_1,control,C3
2,809.691,algae,0,0,0,18_C3B_1,control,C3
3,369.147,algae,0,0,0,18_C3B_1,control,C3
4,39.951,algae,0,0,0,18_C3B_1,control,C3
5,70.803,algae,0,0,0,18_C3B_1,control,C3
6,110.161,algae,0,0,0,18_C3B_1,control,C3
7,223.782,algae,0,0,0,18_C3B_1,control,C3
8,1046.724,algae,0,0,0,18_C3B_1,control,C3
9,565.34,algae,0,0,0,18_C3B_1,control,C3
10,850.927,algae,0,0,0,18_C3B_1,control,C3
11,1322.423,algae,0,0,0,18_C3B_1,control,C3
12,73.671,algae,0,0,0,18_C3B_1,control,C3
13,173.449,algae,0,0,0,18_C3B_1,control,C3
14,710.111,algae,0,0,0,18_C3B_1,control,C3
15,972.954,algae,0,0,0,18_C3B_1,control,C3
16,17.404,algae,0,0,0,18_C3B_1,control,C3
17,22.349,algae,0,0,0,18_C3B_1,control,C3
18,22.546,algae,0,0,0,18_C3B_1,control,C3
19,95.13,algae,0,0,0,18_C3B_1,control,C3
20,2380.123,algae,0,0,0,18_C3B_1,control,C3
21,23.931,algae,0,0,0,18_C3B_1,control,C3
22,102.25,algae,0,0,0,18_C3B_1,control,C3
23,40.346,algae,0,0,0,18_C3B_1,control,C3
